Aura Janeth Baron Gonzalez|Investigador Junior (IJ)||CARLOS FRONTERA BECCARIA|JOSE LUIS GARCIA MUNOZ||||2|"EFFECT OF CATION DISORDER ON STRUCTURAL, MAGNETIC, AND DIELECTRIC PROPERTIES OF LA2MNCOO6 DOUBLE PEROVSKITE"|Estados Unidos|Journal Of Physics-Condensed Matter |1361-648X |2011|0|3
Aura Janeth Baron Gonzalez|Investigador Junior (IJ)||CARLOS FRONTERA BECCARIA|JOSE LUIS GARCIA MUNOZ||||2|"ROLE OF A-SITE CATIONS IN THE METAL-INSULATOR TRANSITION IN PR0.5 CA0.5 COO3-D"|Estados Unidos|Physical Review, B: Condensed Matter |0163-1829 |2010|0|3
Aura Janeth Baron Gonzalez|Investigador Junior (IJ)||CARLOS FRONTERA BECCARIA|JOSE LUIS GARCIA MUNOZ||||2|"CATION ORDER AND STRUCTURAL TRANSITION IN LA2MNCOO6"|Colombia|Journal Of Physics: Conference Series |1742-6596 |2011|0|3
Aura Janeth Baron Gonzalez|Investigador Junior (IJ)||CARLOS FRONTERA BECCARIA|JOSE LUIS GARCIA MUNOZ||||2|"SPIN-STATE TRANSITION IN PR0.5CA0.5COO3 ANALYZED BY X-RAY ABSORPTION AND EMISSION SPECTROSCOPIES"|Estados Unidos|Physical Review, B: Condensed Matter |0163-1829 |2012|0|3
Aura Janeth Baron Gonzalez|Investigador Junior (IJ)||CARLOS FRONTERA BECCARIA|JOSE LUIS GARCIA MUNOZ||||2|"GROUND STATE AND THE METAL-INSULATOR TRANSITION IN PR(1-X) CAX COO3 (0.45≤X≤0.55) COBALTITES"|Colombia|Journal Of The Korean Physical Society |0374-4884 |2013|0|3
Aura Janeth Baron Gonzalez|Investigador Junior (IJ)|JOSE LUIS GARCIA MUNOZ||||||1|"ROLE OF PR CATIONS AND THE LOW TEMPERATURE TRANSITION IN PR0.50SR0.50COO3: A COMPARISON TO PR0.50CA0.50COO3"|Estados Unidos|Physica B-Condensed Matter |0921-4526 |2014|0|3
Aura Janeth Baron Gonzalez|Investigador Junior (IJ)||CARLOS FRONTERA BECCARIA|JOSE LUIS GARCIA MUNOZ||||2|"EXPLORATION OF MAGNETIC ORDER IN PR0.5 CA0.5 COO(3-D)BELOW THE METAL-INSULATOR TRANSITION"|Estados Unidos|Physics Procedia |1875-3892 |2010|0|3
Aura Janeth Baron Gonzalez|Investigador Junior (IJ)||RODRIGUEZ LARA JAIME|||||1|"ESTUDIO Y CARACTERIZACION POR RAYOS X Y MICROSCOPIA ELECTRONICA DE BARRIDO DE MUESTRAS DE POLIURETANO ESPUMADO"|Colombia|II CONGRESO NACIONAL DE MATERIALES |0 |2003|0|3
Aura Janeth Baron Gonzalez|Investigador Junior (IJ)||RODRIGUEZ LARA JAIME|||||1|"CARACTERIZACION DE POLIMEROS ESPUMADOS"|Colombia|Revista Colombiana De Física |0120-2650 |2005|0|3
Angel Jose Chacon Velasco|Sin categoria||VALERI DOUGAR JABON|FLOR ALBA VIVAS||||2|"HYDROGEN NEGATIVE ION PRODUCTION IN AN ELECTRON CYCLOTRON RESONANCE DRIVEN PLASMA"|Colombia|Review Of Scientific Instruments |0034-6748 |1998|0|5
Angel Jose Chacon Velasco|Sin categoria||VALERI DOUGAR JABON|ANATOLI UMNOV|V I KARIAKA|||3|"CONFINEMENT OF IONS IN SOURCES BASED ON ELECTRON CYCLOTRON RESONANCE PHENOMENON"|Colombia|Physica Scripta |0281-1847 |1999|0|5
Angel Jose Chacon Velasco|Sin categoria|||||||0|"TEORIAS ELECTROMAGNETICAS DE LA GRAVEDAD"|Colombia|Bistua Revista De La Facultad De Ciencias Basicas |0120-4211 |2004|0|5
Angel Jose Chacon Velasco|Sin categoria||VALERI DOUGAR JABON|ANATOLI UMNOV|FLOR ALBA VIVAS|||3|"STRIPPING OF ION BEAMS BY MULTIPLE PASSES THROUGH A PLASMA MEDIUM"|Colombia|Review Of Scientific Instruments |0034-6748 |1998|0|5
Angel Jose Chacon Velasco|Sin categoria|||||||0|"APLICACIONES A LA ELECTRONICA DE LOS PLASMAS POR RESONANCIA CICLOTRONICA ELECTRONICA RCE"|Colombia|Revista Colombiana De Tecnologías De Avanzada |1692-7257 |2007|0|5
Angel Jose Chacon Velasco|Sin categoria|||||||0|"SIMULATION OF THE FORMATION OF AN ION BEAM BY EXTRACTION FROM A MAGNETICALLY CONFINED PLASMA"|Estados Unidos|Ieee Transactions On Plasma Science |0093-3813 |2012|0|5
Angel Jose Chacon Velasco|Sin categoria||VALERI DOUGAR JABON|||||1|"TIEMPO DE VIDA DE IONES MULTICARGADOS EN FUENTES RCE"|Colombia|Revista Colombiana De Física |0120-2650 |1998|0|5
Angel Jose Chacon Velasco|Sin categoria|||||||0|"EFECTO LENSE THIRRING O DE ARRASTRE DE PARTÍCULAS DE PRUEBA EN UN CAMPO GRAVITACIONAL CREADO POR UN LAPIZ DE LUZ ROTACIONAL"|Colombia|Revista Colombiana De Física |0120-2650 |2013|0|5
Angel Jose Chacon Velasco|Sin categoria|||||||0|"CAMPOS CUASIMAGNÉTICOS GRAVITACIONALES Y SU ANALOGÍA CON EL ELECTROMAGNETISMO"|Colombia|Revista Integración |0120-419X |1993|0|5
Angel Jose Chacon Velasco|Sin categoria|||||||0|"FORMULACIÓN GEOMÉTRICA DEL SISTEMA DE REFERENCIA EN LA RELATIVIDAD GENERAL"|Colombia|Revista Integración |0120-419X |1997|0|5
Angel Jose Chacon Velasco|Sin categoria|||||||0|"SIMILARIDAD ESTRUCTURAL DE SISTEMAS DINÁMICOS MOLECULAR CON BASE A SUS TRAYECTORIAS"|Colombia|Bistua Revista De La Facultad De Ciencias Basicas |0120-4211 |2007|0|5
Angel Jose Chacon Velasco|Sin categoria|||||||0|"EL PRINCIPIO DE MACH EN LA RELATIVIDAD GENERAL Y EN LA MECÁNICA RELACIONAL"|Colombia|Cuestiones De Filosofia |0123-5095 |2007|0|5
Angel Jose Chacon Velasco|Sin categoria||VALERI DOUGAR JABON|ANATOLI UMNOV||||2|"GENERACIÓN DE IONES NEGATIVOS EN UNA DESCARGA RCE DE HIDRÓGENO"|Colombia|Revista Colombiana De Física |0120-2650 |1998|0|5
Angel Jose Chacon Velasco|Sin categoria||VALERI DOUGAR JABON|||||1|"FUNDAMENTOS FÍSICOS Y DESCRIPCIÓN DEL MECANISMO DE AUMENTO DE LA CARGA IÓNICA EN ISÓTOPOS RADIOACTIVOS"|Colombia|Revista Colombiana De Física |0120-2650 |1998|0|5
Diego Mauricio Gallego Mahecha|Sin categoria|ROBERTO ENRIQUE MARTINEZ MARTINEZ||||||1|"EL GRUPO DE RENORMALIZACIÓN EN EL MODELO ESTÁNDAR"|Colombia|Revista Colombiana De Física |0120-2650 |2003|0|6
Diego Mauricio Gallego Mahecha|Sin categoria|||||||0|"ON THE EFFECTIVE DESCRIPTION OF LARGE VOLUME COMPACTIFICATIONS"|Italia|Journal Of High Energy Physics |1126-6708 |2011|0|6
Diego Mauricio Gallego Mahecha|Sin categoria||ROBERTO ENRIQUE MARTINEZ MARTINEZ|RODOLFO ALEXANDER DIAZ SANCHEZ||||2|"EL GRUPO DE RENORMALIZACIÓN EN MODELOS 331"|Colombia|Revista Colombiana De Física |0120-2650 |2006|0|6
